champlain, flathead, goose, great_salt_lake, lower_red, manitoba, marion, mcconaugh, mead, mille_lacs_lake, mono, moultrie, nipigon, okeechobee, oneida, pontchartrain, sakakawea, salton_sea, sebago, tahoe, upper_klamath, winnebago, winnipesaukee
20181223, 0.22, 0, 0.01, 0.26, 1, 1, 0, 0, 0, 1, 0, 0, 0.86, 0, 0.06, 0, 0.71, 0, 0.33, 0, 0.02, 1, 0.2
20181224, 0.29, 0, 0, 0.28, 1, 1, 0, 0, 0, 1, 0, 0, 0.95, 0, 0.07, 0, 0.75, 0, 0.38, 0, 0, 1, 0.22
20181225, 0.32, 0, 0, 0.28, 1, 1, 0, 0, 0, 1, 0, 0, 0.99, 0, 0.06, 0, 0.77, 0, 0.42, 0, 0.01, 1, 0.25
20181226, 0.36, 0, 0, 0.27, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.07, 0, 0.78, 0, 0.52, 0, 0.01, 1, 0.25
20181227, 0.47, 0, 0, 0.26, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.09, 0, 0.8, 0, 0.66, 0, 0.02, 1, 0.25
20181228, 0.66, 0.01, 0, 0.28, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.12, 0, 0.8, 0, 0.79, 0.01, 0.03, 1, 0.26
20181229, 0.55, 0.02, 0.01, 0.34, 1, 1, 0, 0, 0, 1, 0.01, 0, 1, 0, 0.09, 0, 0.82, 0, 0.86, 0.02, 0.05, 1, 0.3
20181230, 0.35, 0.01, 0.01, 0.46, 1, 1, 0, 0, 0, 1, 0.02, 0, 1, 0, 0.03, 0, 0.84, 0, 0.74, 0.03, 0.05, 1, 0.23
20181231, 0.44, 0, 0, 0.51, 1, 1, 0, 0, 0, 1, 0.01, 0, 1, 0, 0.07, 0, 0.85, 0, 0.93, 0.03, 0.04, 1, 0.25
20190101, 0.4, 0, 0, 0.62, 1, 1, 0, 0, 0, 1, 0.01, 0, 1, 0, 0.08, 0, 0.9, 0, 0.97, 0.04, 0.06, 1, 0.25
20190102, 0.33, 0.03, 0.04, 0.88, 1, 1, 0, 0, 0, 1, 0.03, 0, 1, 0, 0, 0, 0.98, 0, 0.91, 0.04, 0.09, 1, 0.25
20190103, 0.43, 0.02, 0.17, 0.99, 1, 1, 0, 0, 0, 1, 0.04, 0, 1, 0, 0.04, 0, 0.99, 0, 0.95, 0.05, 0.17, 1, 0.25
20190104, 0.49, 0, 0.25, 1, 1, 1, 0, 0, 0, 1, 0.05, 0, 1, 0, 0.01, 0, 0.98, 0, 0.97, 0.06, 0.17, 1, 0.29
20190105, 0.41, 0, 0.31, 1, 1, 1, 0, 0, 0, 1, 0.04, 0, 1, 0, 0.02, 0, 0.97, 0, 0.98, 0.06, 0.2, 1, 0.27
20190106, 0.4, 0.01, 0.38, 1, 1, 1, 0, 0.01, 0, 1, 0.03, 0, 1, 0, 0.02, 0, 0.98, 0, 0.98, 0.05, 0.14, 1, 0.27
20190107, 0.39, 0, 0.3, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0.99, 0, 0.97, 0.05, 0.1, 1, 0.25
20190108, 0.46, 0, 0.29, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.1, 0, 0.99, 0, 1, 0.05, 0.11, 1, 0.26
20190109, 0.43, 0.01, 0.24, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.06, 0, 1, 0, 1, 0.05, 0.09, 1, 0.37
20190110, 0.43, 0, 0.08, 1, 1, 1, 0, 0.04, 0, 1, 0, 0, 1, 0, 0.05, 0, 1, 0, 1, 0.05, 0.04, 1, 0.36
20190111, 0.45, 0, 0, 1, 1, 1, 0, 0.05, 0, 1, 0, 0, 1, 0, 0.08, 0, 1, 0, 1, 0.05, 0.03, 1, 0.37
20190112, 0.58, 0, 0.01, 1, 1, 1, 0, 0.04, 0, 1, 0, 0, 1, 0, 0.15, 0, 1, 0, 1, 0.06, 0.04, 1, 0.5
20190113, 0.74, 0.01, 0.01, 1, 1, 1, 0, 0.02, 0, 1, 0, 0, 1, 0, 0.24, 0, 1, 0, 1, 0.09, 0.04, 1, 0.84
20190114, 0.9, 0.01, 0.05, 1, 1, 1, 0, 0.02, 0, 1, 0, 0, 1, 0, 0.4, 0, 1, 0, 1, 0.13, 0.05, 1, 0.95
20190115, 0.98, 0.02, 0.12, 1, 1, 1, 0, 0.02, 0, 1, 0, 0, 1, 0, 0.64, 0, 1, 0, 1, 0.19, 0.05, 1, 0.97
20190116, 0.99, 0.03, 0.13, 1, 1, 1, 0, 0.09, 0, 1, 0, 0, 1, 0, 0.75, 0, 1, 0, 1, 0.24, 0.05, 1, 0.99
20190117, 0.99, 0.03, 0.08, 1, 1, 1, 0, 0.2, 0, 1, 0, 0, 1, 0, 0.78, 0, 1, 0, 1, 0.12, 0.04, 1, 1
20190118, 1, 0.04, 0.06, 1, 1, 1, 0, 0.17, 0, 1, 0, 0, 1, 0, 0.93, 0, 1, 0, 1, 0.04, 0.03, 1, 1
20190119, 1, 0.04, 0.05, 1, 1, 1, 0, 0.03, 0, 1, 0, 0, 1, 0, 0.95, 0, 1, 0, 1, 0.04, 0.04, 1, 1
20190120, 1, 0.03, 0.03, 1, 1, 1, 0, 0.08, 0, 1, 0, 0, 1, 0, 0.96, 0, 1, 0, 1, 0.04, 0.03, 1, 1
20190121, 1, 0.03, 0.01, 1, 1, 1, 0, 0.08, 0, 1, 0, 0, 1, 0, 0.96, 0, 1, 0, 1, 0.03, 0.04, 1, 1
20190122, 1, 0.03, 0, 1, 1, 1, 0, 0.06, 0, 1, 0, 0, 1, 0, 0.96, 0, 1, 0, 1, 0.03, 0.05, 1, 1
20190123, 1, 0.03, 0.24, 1, 1, 1, 0, 0.1, 0, 1, 0, 0, 1, 0, 0.96, 0, 1, 0, 1, 0.03, 0.09, 1, 1
20190124, 1, 0.03, 0.36, 1, 1, 1, 0, 0.15, 0, 1, 0, 0, 1, 0, 0.95, 0, 1, 0, 1, 0.06, 0.05, 1, 1
20190125, 1, 0.02, 0.39, 1, 1, 1, 0, 0.18, 0, 1, 0, 0, 1, 0, 0.95, 0, 1, 0, 1, 0.09, 0.09, 1, 1
20190126, 1, 0.02, 0.51, 1, 1, 1, 0, 0.19, 0, 1, 0, 0, 1, 0, 0.95, 0, 1, 0, 1, 0.16, 0.12, 1, 1
20190127, 1, 0.01, 0.74, 1, 1, 1, 0, 0.19, 0, 1, 0, 0, 1, 0, 0.95, 0, 1, 0, 1, 0.21, 0.16, 1, 1
20190128, 1, 0.01, 0.9, 1, 1, 1, 0, 0.16, 0, 1, 0, 0, 1, 0, 0.96, 0, 1, 0, 1, 0.24, 0.19, 1, 1
20190129, 1, 0.02, 0.97, 1, 1, 1, 0, 0.15, 0, 1, 0, 0, 1, 0, 0.96, 0, 1, 0, 1, 0.28, 0.22, 1, 1
20190130, 1, 0.08, 0.97, 1, 1, 1, 0, 0.2, 0, 1, 0, 0, 1, 0, 0.97, 0, 1, 0, 1, 0.29, 0.26, 1, 1
20190131, 1, 0.16, 0.98, 1, 1, 1, 0, 0.38, 0, 1, 0, 0, 1, 0, 0.97, 0, 1, 0, 1, 0.32, 0.3, 1, 1
20190201, 1, 0.14, 0.99, 1, 1, 1, 0, 0.46, 0, 1, 0, 0, 1, 0, 0.97, 0, 1, 0, 1, 0.36, 0.32, 1, 1
20190202, 1, 0.12, 0.96, 1, 1, 1, 0, 0.51, 0, 1, 0, 0, 1, 0, 0.98, 0, 1, 0, 1, 0.38, 0.28, 1, 1
20190203, 1, 0.05, 0.91, 0.99, 1, 1, 0, 0.55, 0, 1, 0, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.11, 0.25, 1, 1
20190204, 1, 0.08, 0.88, 0.93, 1, 1, 0, 0.55, 0, 1, 0, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.11, 0.25, 1, 1
20190205, 1, 0.15, 0.88, 0.76, 1, 1, 0, 0.7, 0, 1, 0, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.09, 0.26, 1, 1
20190206, 1, 0.2, 0.96, 0.61, 1, 1, 0, 1, 0, 1, 0.02, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.09, 0.3, 1, 1
20190207, 1, 0.28, 1, 0.65, 1, 1, 0, 1, 0, 1, 0.05, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.1, 0.33, 1, 1
20190208, 1, 0.42, 1, 0.73, 1, 1, 0, 1, 0, 1, 0.14, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.1, 0.44, 1, 1
20190209, 1, 0.48, 1, 0.83, 1, 1, 0, 1, 0, 1, 0.16, 0, 1, 0, 0.97, 0, 1, 0, 0.99, 0.13, 0.48, 1, 1
20190210, 1, 0.55, 1, 0.88, 1, 1, 0, 1, 0, 1, 0.17, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.13, 0.55, 1, 1
20190211, 1, 0.72, 1, 0.87, 1, 1, 0, 1, 0, 1, 0.23, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.13, 0.54, 1, 1
20190212, 1, 0.81, 1, 0.88, 1, 1, 0, 1, 0, 1, 0.23, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.13, 0.49, 1, 1
20190213, 1, 0.82, 1, 0.89, 1, 1, 0, 0.97, 0, 1, 0.2, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.12, 0.45, 1, 1
20190214, 1, 0.81, 1, 0.87, 1, 1, 0, 0.95, 0, 1, 0, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.09, 0.43, 1, 1
20190215, 1, 0.82, 1, 0.74, 1, 1, 0, 0.94, 0, 1, 0, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.03, 0.36, 1, 1
20190216, 1, 0.81, 1, 0.59, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.04, 0.36, 1, 1
20190217, 1, 0.81, 1, 0.56, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.04, 0.37, 1, 1
20190218, 1, 0.82, 1, 0.57, 1, 1, 0, 1, 0, 1, 0.05, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.06, 0.37, 1, 1
20190219, 1, 0.9, 1, 0.59, 1, 1, 0, 1, 0, 1, 0.12, 0, 1, 0, 0.99, 0, 1, 0, 1, 0.06, 0.38, 1, 1
20190220, 1, 0.96, 1, 0.68, 1, 1, 0, 1, 0, 1, 0.17, 0, 1, 0, 1, 0, 1, 0, 1, 0.13, 0.39, 1, 1
20190221, 1, 0.98, 1, 0.75, 1, 1, 0, 1, 0, 1, 0.2, 0, 1, 0, 1, 0, 1, 0, 1, 0.11, 0.39, 1, 1
20190222, 1, 0.99, 1, 0.78, 1, 1, 0, 1, 0, 1, 0.29, 0, 1, 0, 1, 0, 1, 0, 1, 0.16, 0.39, 1, 1
